Row#,Code,Description,Calendar
1,3R,"REWORK, RECYCLE & REUSE",
2,ACCT,ACCOUNT,
3,ADM,ADMIN,
4,CHEMICAL,CHEMICAL,
5,COAT,COATING,
6,COAT(TEMP),COATING (TEMP),
7,CORE,PAPER CORE,
8,CTR MKTG,CENTRAL MARKETING,
9,CUTT,CUTTING,
10,DIR,DIRECTORS,
11,DOW OPT,DOW OPTION,
12,ENERGY,ENERGY,
13,ENERGY 2,ENERGY 2,
14,ETP,ELECTRONIC TAPES,
15,EXS,EXPORT,
16,FIN,FINANCE,
17,G&A,G&A-AUTO SLITTING,
18,GEN ADM,GENERAL ADMIN,
19,GLUE,GLUE,
20,HRA,HUMAN RESOURCES & ADMIN,
21,HRD,HUMAN RESOURCE,
22,IBU,INTERNATIONAL BUSINESS UNIT,
23,INB,LOGISTIC-INBOUND,
24,INDSLS,INDUSTRIAL SALES,
25,INDUSTRIAL,INDUSTRIAL SALES,
26,ITC,INFORMATION & TECHNOLOGY,
27,KLINER,KLINER,
28,L&S,LEGAL & SECRETARIAL,
29,LCS,LOCAL SALES,
30,LOG (TEMP),LOGISTIC (TEMP),
31,MAIN,MAINTENANCE,
32,MD OFFICE,MD OFFICE,
33,MNFCTRNG,MANUFACTURING,
34,MUAR PLANT,MUAR PLANTATION,
35,OBD,LOGISTIC-OUTBOUND,
36,P.CORE,PAPER CORE,
37,PACK,PACKING,
38,PLAN,PLANNING,
39,PRIN,PRINTING,
40,PROC,PROCUREMENT,
41,PROCURE,PROCUREMENT,
42,PROD,PRODUCTION,
43,PRODUCTION,PRODUCTION,
44,PRODUCTN,PRODUCTION,
45,PURC,PURCHASING,
46,QA,QUALITY ASSURANCE,
47,QAC,QUALITY ASSURANCE & CONTROL,
48,QC,QUALITY CONTROL,
49,R&D,RESEARCH & DEVELOPMENT,
50,RCP,RCP,
51,RCP (TEMP),RCP (TEMP),
52,RETAIL,RETAIL,
53,REWD,REWINDING,
54,RIBB,RIBBON,
55,RTL,RETAIL,
56,RWD,REWORK,
57,S&M,SALES & MARKETING,
58,SB CHEM,SB CHEMICALS,
59,SBASKL,SBASKL-ADMIN,
60,SBASKL-PD,SBASKL-PRODUCTION,
61,SBS,SB SHOW ROOM,
62,SCHWANER,SCHWANER INTERNATIONAL TAPE S/B,
63,SECRE,SECRETARIAL,
64,SFL,STRETCH FILM,
65,SHIP,SHIPPING,
66,SLIT,SLITTING,
67,SLS ADM,SALES ADMIN,
68,SRO,SHOW ROOM OFFICE,
69,TECHNICAL,TECHNICAL,
70,WWT,WASTE WATER TREATMENT,
71,WWTP,WASTE WATER TREATMENT PLANT,
