Row#,Code,Description,Active
1,A & P ENG,AUTOMATION & PROCESS ENGINEER,TRUE
2,AAM,ASSISTANT ADMIN MANAGER,TRUE
3,ABMGR,ASST BUSINESS MANAGER,TRUE
4,AC ADM OFF,ACCOUNTS & ADMIN OFFICER,TRUE
5,AC ASSIST,ACCOUNTS ASSISTANT,TRUE
6,AC CLK,ACCOUNT CLERK,TRUE
7,AC EXEC,ACCOUNT EXECUTIVE,TRUE
8,AC MGR,ACCOUNTS MANAGER,TRUE
9,AC OFF,ACCOUNT OFFICER,TRUE
10,ACCOUNTANT,ACCOUNTANT,TRUE
11,ADM,ADMIN CUM RECEPTIONIST,TRUE
12,ADM / DRI,ADMIN CLERK CUM DRIVER,TRUE
13,ADM ASST,ADMIN ASSISTANT,TRUE
14,ADM CLK,ADMIN CLERK,TRUE
15,ADM EXE,ADMIN EXECUTIVE,TRUE
16,ADM/COOR,SALES ADMIN CUM COORDINATOR,TRUE
17,ADMIN & QC,ADMIN CUM QC CLERK,TRUE
18,AFIM,ASSISTANT FINANCE MANAGER,TRUE
19,AFM,ASSISTANT FACTORY MANAGER,TRUE
20,AGM,ASSISTANT GENERAL MANAGER,TRUE
21,AIR COND,AIR CONDITIONING TECHNICIAN,TRUE
22,ALM,ASSISTANT LOGISTIC MANAGER,TRUE
23,AMM,ASSISTANT MAINTENANCE MANAGER,TRUE
24,APM,ASSISTANT PRODUCTION MANAGER,TRUE
25,APMG,ASSISTANT PROCUREMENT MANAGER,TRUE
26,APP CHEMIS,APPLICATION CHEMIST,TRUE
27,APPRENTICE,APPRENTICE,TRUE
28,ASS BS MGR,ASSISTANT BUSINESS MANAGER,TRUE
29,ASS CSV,ASSISTANT CUSTOMER SERVICE OFFICER,TRUE
30,ASST,ASSISTANT MANAGER(GLUE),TRUE
31,ASST ADM,ASSISTANT ADMIN MANAGER,TRUE
32,ASST OPER,ASSISTANT OPERATION MANAGER,TRUE
33,ASST SHIP,ASSISTANT SHIPPING MANAGER,TRUE
34,AST AC MGR,ASSISTANT ACCOUNTS MANAGER,TRUE
35,AST ACTT,ASSISTANT ACCOUNTANT,TRUE
36,AST CS MGR,ASSISTANT CUSTOMER SERVICE MANAGER,TRUE
37,AST EX MGR,ASSISTANT EXPORT MANAGER,TRUE
38,AST IT MGR,ASSISTANT IT MANAGER,TRUE
39,AST MGR,ASST MANAGER,TRUE
40,AST MKT MR,ASSISTANT MARKETING MANAGER,TRUE
41,AST P/PLAN,ASSISTANT PRODUCTION PLANNER,TRUE
42,AST PRD MG,ASSISTANT PRODUCTION MANAGER,TRUE
43,AST QA MGR,ASSISTANT QA MANAGER,TRUE
44,AST RGN MG,ASSISTANT REGIONAL SALES MANAGER,TRUE
45,AST RND MR,ASSISTANT R&D MANAGER,TRUE
46,AST SL MGR,ASSISTANT SALES ADMIN MANAGER,TRUE
47,AUTO TECH,AUTOMATION TECHNICIAN,TRUE
48,AWM,ASSISTANT WAREHOUSE MANAGER,TRUE
49,BD EXEC,BUSINESS DEVELOPMENT EXECUTIVE,TRUE
50,BDM,BUSINESS DEVELOPMENT MANAGER,TRUE
51,BIS DE MNG,BUSINESS DEVELOPMENT MANAGER,TRUE
52,BOILERMAN,BOILERMAN,TRUE
53,BRAND MNG,BRANDING MANAGER,TRUE
54,BS MGT EXC,BUSINESS MANAGEMENT EXECUTIVE,TRUE
55,CC,CREDIT CONTROLLER,TRUE
56,CCE,CREDIT CONTROL EXEC,TRUE
57,CHEMICAL,CHEMICAL ANALYST & ENGINEER,TRUE
58,CHEMIST,CHEMIST,TRUE
59,CLERK,DATA ENTRY CLERK,TRUE
60,CLNR,CLEANING LADY,TRUE
61,COAT LDR,COATING LEADER,TRUE
62,COAT OPT,COATING OPERATOR,TRUE
63,CONVER CLK,CONVERTING CLERK,TRUE
64,CS EXEC,CUSTOMER SERVICE EXECUTIVE,TRUE
65,CS OFFICER,CUSTOMER SERVICE OFFICER,TRUE
66,CSSC,CUSTOMER SERVICE CUM SALES COORDINATOR,TRUE
67,CST,CUSTOMER SERVICE TRAINEE,TRUE
