Row#,Code,Description
1,ACCT SEC,ACCOUNT SECTION
2,ADM,ADMIN SECTION
3,ADM SEC,ADMIN SECTION
4,BRANDING,BRANDING SECTION
5,COAT 1,COAT 1
6,COAT 2,COAT 2
7,COAT 3,COAT 3
8,COAT 4,COAT 4
9,COAT 5,COAT 5
10,COAT 6,COAT 6
11,EXP,EXPORT SECTION
12,FIN SEC,FINANCE SECTION
13,HRD,HUMAN RESOURCES SECTION
14,ITC,INFORMATION TECHNOLOGY SECTION
15,L&S,LEGAL & SECRETARIAL SECTION
16,MERCHANT,MERCHANDISING SECTION
17,MKTG,MARKETING SECTION
18,OPS,OPERATION SECTION
19,OPS (CO10),OPERATION (CO10)
20,OPS (CUT),OPERATION (CUTTING)
21,OPS (CUTT),OPERATION (CUTTING)
22,OPS (G&A),OPERATION (G&A)
23,OPS (PACK),OPERATION (PACKING)
24,OPS (REWD),OPERATION (REWINDING)
25,OPS (S.A),OPERATION (SEMI AUTO)
26,OPS SEC,OPERATION SECTION
27,PROCURE,PROCUREMENT SECTION
28,PRODUCTION,PRODUCTION
29,SALES,SALES SECTION
30,SHIP,SHIPPING SECTION
31,SLS,SALES
32,SLS ADM,SALES ADMIN SECTION
