Row#,Code,Description,Contact Person,Telephone No.,Remark
1,1 TRAINING,1 TRAINING WORKLIFE MANAGEMENT,,,
2,ASEC,ACADEMY OF SAFETY & EMERGENCY CARE S/B,,,
3,AZMI,AZMI NASSARUDDIN,,,
4,BSI ACADE,BSI ACADEMY,,,
5,CPA AUS,CPA  AUSTRALIA,,,
6,DOE,DEPARTMENT OF ENVIRONMENT,,,
7,ENVIRO,ENVIRO ACADEMY SDN BHD,,,
8,FMM,FEDERATION MANUFACTURING OF MALAYSIA,,,
9,FR RESOURC,FR RESOURCES GROUP PLT,,,
10,GREENVELL,GREENVELL (M) SDN BHD,,,
11,IMPERIUM,IMPERIUM LEARNING CENTRE,,,
12,JESLIN TAN,TAN CHOON CHIEN,,,
13,M HARVEST,M HARVEST,,,
14,MGTC,MLYSIAN GREEN TECH & CLIMATE CHANGE CORP,,,
15,MIA,MALAYSIAN INSTITUTE OF ACCOUNTANTS,,,
16,MR ERIC,INTERCHEM-TOYO,,,
17,SGS,SGS (MALAYSIA) SDN BHD,,,
18,SHRDC,SELANGOR HUMAN RESOURCE DEVELOPMENT CENT,,,
